id,presupuesto,tipo
1,722591,marcha
2,398534,redes sociales
3,111935,redes sociales
4,341570,marcha
5,873203,redes sociales
6,884800,marcha
7,766213,redes sociales
8,670439,marcha
9,759108,redes sociales
10,469232,redes sociales
11,189484,redes sociales
12,596878,marcha
13,99184,marcha
14,517273,redes sociales
15,740,marcha
16,399825,redes sociales
17,823997,marcha
18,8854,marcha
19,602303,redes sociales
20,640226,redes sociales
21,282665,marcha
22,868568,redes sociales
23,659490,redes sociales
24,310412,marcha
25,509581,redes sociales
26,304386,redes sociales
27,556451,marcha
28,571301,marcha
29,393361,redes sociales
30,709695,marcha
31,306076,redes sociales
32,833981,redes sociales
33,606032,redes sociales
34,792841,marcha
35,314730,redes sociales
36,279868,marcha
37,67184,redes sociales
38,193123,marcha
39,95833,marcha
40,545932,marcha
41,768731,redes sociales
42,816121,redes sociales
43,29592,marcha
44,651841,redes sociales
45,360797,redes sociales
46,31189,marcha
47,320282,marcha
48,509119,marcha
49,121538,redes sociales
50,581597,redes sociales
51,553740,marcha
52,343376,redes sociales
53,388677,redes sociales
54,635227,marcha
55,944959,redes sociales
56,521976,redes sociales
57,140984,marcha
58,904402,redes sociales
59,732792,redes sociales
60,464454,marcha
61,414098,redes sociales
62,518260,redes sociales
63,220849,marcha
64,534352,marcha
65,23681,marcha
66,952769,marcha
67,230996,marcha
68,58681,marcha
69,703347,redes sociales
70,363980,redes sociales
71,576273,marcha
72,362094,redes sociales
73,213944,marcha
74,50582,redes sociales
75,229747,marcha
76,43712,marcha
77,330413,marcha
78,701023,marcha
79,144053,redes sociales
80,290586,marcha
81,429014,marcha
82,13307,redes sociales
83,871549,marcha
84,650837,marcha
85,129633,marcha
86,913644,marcha
87,824500,marcha
88,485874,redes sociales
89,316083,marcha
90,621667,marcha
91,680100,marcha
92,499625,marcha
93,528193,redes sociales
94,655932,redes sociales
95,340801,marcha
96,140402,marcha
97,729922,redes sociales
98,408874,redes sociales
99,479774,marcha
100,767382,redes sociales
101,878522,redes sociales
102,151098,redes sociales
103,794978,marcha
104,760757,marcha
105,26292,marcha
106,415951,marcha
107,541528,redes sociales
108,637789,redes sociales
109,556313,marcha
