nombre,comuna
"SolarEdge Technologies, Inc.",Padre Hurtado
Azul S.A.,Curanilahue
Franke,Calama
AdvisorShares Market Adaptive Unconstrained Income ETF,Chile Chico
Kilroy Realty Corporation,Huasco
Anheuser-Busch Inbev SA,Antofagasta
Clifton Bancorp Inc.,Valparaiso
San Geronimo,La Higuera
Elenita,Ollagüe
Catamutun,Rio Bueno
United States Cellular Corporation,La Serena
San Jose,Vallenar
Isla Guarello,Punta Arenas
Las Arenitas,Curanilahue
Park-Ohio Holdings Corp.,Monte Patria
The Community Financial Corporation,Isla de Maipo
"National American University Holdings, Inc.",Maria Elena
Garrison Capital Inc.,Antofagasta
Array BioPharma Inc.,Taltal
Unisys Corporation,Huara
PureFunds ETFx HealthTech ETF,Tocopilla
"Dynex Capital, Inc.",Calama
Walter Investment Management Corp.,Copiapo
"Avon Products, Inc.",Tocopilla
"Clear Channel Outdoor Holdings, Inc.",Quilpue
EQT Corporation,Vallenar
SQM - Mapocho,Huara
Las Cenizas,Concon
"Sportsman's Warehouse Holdings, Inc.",Huasco
"Xenia Hotels & Resorts, Inc.",La Higuera
Lions Gate Entertainment Corporation,Diego de Almagro
Inacesa - El Jilguero,Huasco
Don Alberto,Rio Hurtado
Michilla,Mejillones
Marine Petroleum Trust,Ollagüe
Tuina,Maria Elena
Intracampos,Primavera
Westpac Banking Corporation,Calama
"Silicon Laboratories, Inc.",Salamanca
E*TRADE Financial Corporation,Vallenar
Toll Brothers Inc.,Los Alamos
CMP - Boqueron Chañar,Caldera
Peckett,Cabo de Hornos
SL Green Realty Corporation,Iquique
"Chunghwa Telecom Co., Ltd.",Taltal
"Forterra, Inc.",San Pedro de Atacama
Refugio,Diego de Almagro
"China Lodging Group, Limited",Huara
"International Seaways, Inc.",Panguipulli
"Financial Engines, Inc.",Camiña
Nuveen Connecticut Quality Municipal Income Fund,Tierra Amarilla
La Coipa,Diego de Almagro
Dorado,San Gregorio
Mackinac Financial Corporation,Ovalle
"Cogentix Medical, Inc.",Maria Pinto
Cerro Colorado,Pica
Dynatronics Corporation,Santa Barbara
R.R. Donnelley & Sons Company,Maria Elena
Trongol,Yumbel
"FTI Consulting, Inc.",Combarbala
Inacesa - El Way,Antofagasta
"RiverNorth Opportunities Fund, Inc.",Taltal
AmerisourceBergen Corporation (Holding Co),Colchane
"Evolving Systems, Inc.",Andacollo
"UMH Properties, Inc.",San Pedro de Atacama
Arenal,Porvenir
Suncor EnergyInc.,Freirina
Elkhorn Commodity Rotation Strategy ETF,Iquique
La Patagua,Juan Fernandez
Terreno Realty Corporation,Colchane
"CenterPoint Energy, Inc.",Mejillones
Enel Generacion Chile S.A.,Quintero
"Edge Therapeutics, Inc.",Mejillones
"Under Armour, Inc.",Caldera
El Volcan,Isla de Maipo
El Soldado,Quilpue
KT Corporation,Talagante
ACF - Lagunas,Huara
"First Hawaiian, Inc.",Caldera
Randgold Resources Limited,El Monte
III de Atacama Minerals - Aguas Blancas,Sierra Gorda
Urstadt Biddle Properties Inc.,Contulmo
Chimberos,Chañaral
"JA Solar Holdings, Co., Ltd.",Caldera
CMP - Algarrobo,Alto del Carmen
"Idera Pharmaceuticals, Inc.",Pica
Montecristo,Antofagasta
Special Opportunities Fund Inc.,Quilpue
AGCO Corporation,Copiapo
Lenga,Natales
Julia,Maria Elena
"NextEra Energy, Inc.",Yumbel
"Diamond Hill Investment Group, Inc.",Laguna Blanca
Jazz Pharmaceuticals plc,Punitaqui
Laguna Siren,Iquique
"Universal Stainless & Alloy Products, Inc.",Cañete
Alhue,Padre Hurtado
United Insurance Holdings Corp.,Iquique
Chuquicamata,Taltal
Maganeso III de Atacama,Los Vilos
SCL Chemetall,Maria Elena
Galectin Therapeutics Inc.,Taltal
Yelp Inc.,Pica
China Mobile (Hong Kong) Ltd.,Calama
Pirquitas,Arica
Collahuasi,Pica
Central Garden & Pet Company,Los Vilos
Faride,Taltal
Maria Elisa,Contulmo
HollyFrontier Corporation,Paiguano
"Recon Technology, Ltd.",Antofagasta
JM Global Holding Company,Calama
Del Fierro,Cañete
"Hub Group, Inc.",Mejillones
Manantial,Camarones
Credit Acceptance Corporation,Taltal
Nuveen AMT-Free Municipal Value Fund,Huasco
"Mirna Therapeutics, Inc.",Timaukel
"Kura Oncology, Inc.",Codegua
First Trust Senior Loan Fund ETF,Camarones
"Ulta Beauty, Inc.",Pica
Comcast Corporation,Pica
Los Pelambres,Monte Patria
Algorta,Antofagasta
AbbVie Inc.,Colchane
Virco Manufacturing Corporation,Alto Hospicio
Mantos de la Luna,San Pedro de Atacama
"Fiserv, Inc.",Diego de Almagro
Quiborax - Ascotan,Antofagasta
CMP - El Laco,Mejillones
Tata Motors Ltd,Mejillones
Eaton Vance Corporation,Sierra Gorda
Peabody Energy Corporation,Camiña
Vanguard Russell 3000 ETF,San Pedro
Voya Global Equity Dividend and Premium Opportunity Fund,Villa Alemana
First Trust International Multi-Asset Diversified Income Index,Tocopilla
First Trust Nasdaq Retail ETF,Coquimbo
Orbotech Ltd.,Diego de Almagro
La Perla,San Pedro
iShares MSCI EM ESG Optimized ETF,Alto del Carmen
PowerShares Golden Dragon China Portfolio,Yumbel
"Texas Capital Bancshares, Inc.",Santa Barbara
Mantos Blancos,Ollagüe
Choquelimpie,Arica
Novelion Therapeutics Inc.,Vallenar
Double Eagle Acquisition Corp.,Diego de Almagro
Celgene Corporation,Tierra Amarilla
El Tesoro,Maria Elena
Altamira,Ollagüe
El Salvador,Copiapo
Container Store (The),Sierra Gorda
Royal Caribbean Cruises Ltd.,Padre Hurtado
Sierra Miranda,Taltal
El Morro,Vallenar
Pucobre,Alto del Carmen
Corporate Asset Backed Corp CABCO,Colchane
"SeaChange International, Inc.",Natales
Entercom Communications Corporation,Alto Hospicio
La Marcelina,General Lagos
Gabriela Mistral,Calama
Arch Capital Group Ltd.,Ollagüe
Antucoya,Sierra Gorda
Carola,Huasco
PowerShares KBW High Dividend Yield Financial Portfolio,Illapel
Spence,Calama
Cerro Blanco,Curacavi
Haldeman - Sagasca,Pozo Almonte
Victoria,Alto Biobio
L.B. Foster Company,Diego de Almagro
Regal Entertainment Group,Ollagüe
Celite - Tana,Iquique
iPath US Treasury Long Bond Bear ETN,Casablanca
Cambrex Corporation,Sierra Gorda
Pure Cycle Corporation,Cabo de Hornos
Ojos del Salado,Chañaral
Caupolican,Timaukel
EPR Properties,Pica
First Trust Emerging Markets Small Cap AlphaDEX Fund,Alto del Carmen
Aircastle Limited,General Lagos
Esperanza,Mejillones
BLDRS Asia 50 ADR Index Fund,Huara
Western Asset Bond Fund,Chañaral
Forum Merger Corporation,Rancagua
Nuveen Michigan Quality Municipal Income Fund,Pozo Almonte
"Discovery Communications, Inc.",Tucapel
Drive Shack Inc.,La Higuera
"Mid-America Apartment Communities, Inc.",Tucapel
STMicroelectronics N.V.,San Rosendo
RenaissanceRe Holdings Ltd.,Juan Fernandez
"LTC Properties, Inc.",Freirina
El Guindo,Alhue
Cerro Bayo,Rio Ibañez
Kite Realty Group Trust,Maria Elena
"XO Group, Inc.",Rio Verde
SQM Salar,Tocopilla
El Abra,Mejillones
"Destination XL Group, Inc.",Copiapo
Escondida,San Pedro de Atacama
BLDRS Developed Markets 100 ADR Index Fund,Chile Chico
Navio,Quintero
"Franklin Financial Network, Inc.",Sierra Gorda
Condor,Putre
Punta de Lobos - Kanita,Camiña
Kamada Ltd.,Chañaral
Marte Lobo,Copiapo
El Toqui,Chile Chico
Cowen Inc.,Copiapo
"Nutanix, Inc.",Rio Ibañez
Janus Henderson Small Cap Growth Alpha ETF,Calama
Chimborazo,Ollagüe
Cerro Casale,Copiapo
China Cord Blood Corporation,Los Alamos
Novanta Inc.,Pozo Almonte
CMP - Los Colorados,Chañaral
U.S. Energy Corp.,Rio Bueno
NVIDIA Corporation,Tirua
"Argos Therapeutics, Inc.",Calama
