nombre,comuna,fecha apertura,operativo
AdvisorShares Market Adaptive Unconstrained Income ETF,Chile Chico,06-10-1992,si
Clifton Bancorp Inc.,Valparaiso,26-02-1952,si
United States Cellular Corporation,La Serena,05-02-1993,si
The Community Financial Corporation,Isla de Maipo,07-03-1968,si
Array BioPharma Inc.,Taltal,22-12-2006,si
Unisys Corporation,Huara,24-04-1976,si
Walter Investment Management Corp.,Copiapo,03-09-2012,si
EQT Corporation,Vallenar,19-08-1985,si
"Sportsman's Warehouse Holdings, Inc.",Huasco,30-03-1990,si
Lions Gate Entertainment Corporation,Diego de Almagro,15-10-1994,si
Marine Petroleum Trust,Ollagüe,28-04-2019,si
Westpac Banking Corporation,Calama,10-03-1974,si
SL Green Realty Corporation,Iquique,29-05-1987,si
"China Lodging Group, Limited",Huara,21-09-1950,si
Nuveen Connecticut Quality Municipal Income Fund,Tierra Amarilla,29-05-1955,si
"Cogentix Medical, Inc.",Maria Pinto,24-04-1975,si
R.R. Donnelley & Sons Company,Maria Elena,26-04-1966,si
"RiverNorth Opportunities Fund, Inc.",Taltal,21-05-2017,si
AmerisourceBergen Corporation (Holding Co),Colchane,14-06-2004,si
"Under Armour, Inc.",Caldera,25-05-2007,si
"First Hawaiian, Inc.",Caldera,11-10-1987,si
Randgold Resources Limited,El Monte,30-10-1971,si
"JA Solar Holdings, Co., Ltd.",Caldera,05-10-2017,si
Special Opportunities Fund Inc.,Quilpue,09-09-1968,si
"Diamond Hill Investment Group, Inc.",Laguna Blanca,25-04-1999,si
Galectin Therapeutics Inc.,Taltal,01-03-2017,si
Yelp Inc.,Pica,24-06-1977,si
HollyFrontier Corporation,Paiguano,22-11-1983,si
"Recon Technology, Ltd.",Antofagasta,09-11-1952,si
JM Global Holding Company,Calama,13-02-1957,si
"Hub Group, Inc.",Mejillones,02-08-1994,si
Nuveen AMT-Free Municipal Value Fund,Huasco,18-11-2004,si
"Ulta Beauty, Inc.",Pica,04-09-1985,si
AbbVie Inc.,Colchane,24-01-2009,si
Virco Manufacturing Corporation,Alto Hospicio,19-12-1998,si
Tata Motors Ltd,Mejillones,14-10-1991,si
Eaton Vance Corporation,Sierra Gorda,18-02-2005,si
Peabody Energy Corporation,Camina,16-07-2017,si
Vanguard Russell 3000 ETF,San Pedro,06-12-1994,si
Voya Global Equity Dividend and Premium Opportunity Fund,Villa Alemana,14-06-1973,si
First Trust International Multi-Asset Diversified Income Index,Tocopilla,11-12-1994,si
First Trust Nasdaq Retail ETF,Coquimbo,02-03-1966,si
PowerShares Golden Dragon China Portfolio,Yumbel,20-09-2010,si
"Texas Capital Bancshares, Inc.",Santa Barbara,11-06-1964,si
Double Eagle Acquisition Corp.,Diego de Almagro,16-11-2005,si
Royal Caribbean Cruises Ltd.,Padre Hurtado,10-10-2018,si
"SeaChange International, Inc.",Natales,29-01-1953,si
Regal Entertainment Group,Ollagüe,20-08-2004,si
EPR Properties,Pica,11-05-1960,si
Aircastle Limited,General Lagos,24-05-2013,si
Western Asset Bond Fund,Chanaral,18-03-2001,si
Nuveen Michigan Quality Municipal Income Fund,Pozo Almonte,04-12-1982,si
Drive Shack Inc.,La Higuera,23-11-1952,si
