numero,nombre,causa contaminante,area influencia (kms),descripcion,fecha apertura,comuna de tramitacion,status
43389-17096-KF,Yelp Inc.,contaminacion de la cadena trofica,9.87,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",04/08/1999,San Felipe,en tramite
2002-34561-KI,Brookfield Global Listed Infrastructure Income Fund,contaminacion de suelo,32.43,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,13/08/2015,Alto Biobio,en tramite
63367-11983-DJ,United Insurance Holdings Corp.,contaminacion del aire,47.9,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",29/05/2019,Puren,en tramite
97979-38840-LN,Esterline Technologies Corporation,contaminacion de la cadena trofica,38.58,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,30/06/1992,Mariquina,en tramite
27387-51955-DB,Forum Merger Corporation,contaminacion del aire,30.2,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,17/08/2015,Vitacura,en tramite
78084-20738-MG,"First Financial Bankshares, Inc.",contaminacion de suelo,11.46,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,27/01/1997,San Pedro de la Paz,en tramite
91317-16257-JD,Nuveen Energy MLP Total Return Fund,contaminacion del aire,1.82,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",03/02/2010,Maipu,en tramite
69769-48009-DF,Bronce de Petorca,contaminacion de suelo,0.64,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",28/03/1998,Pencahue,en tramite
905-28507-GO,"Hub Group, Inc.",contaminacion de suelo,27.72,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,04/09/2003,Chanaral,en tramite
48923-74984-LA,"Texas Capital Bancshares, Inc.",contaminacion de la cadena trofica,27.82,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",25/11/2003,Maria Elena,en tramite
82408-35174-LM,Don Alberto,contaminacion de suelo,7.31,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",25/12/2004,Cochrane,en tramite
41836-71920-MK,First Trust South Korea AlphaDEX Fund,contaminacion de la cadena trofica,41.44,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",10/03/2017,Huara,en tramite
