numero,comuna de tramitacion
75773-26740-LB,Doñihue
34339-73469-DD,Vitacura
54011-96023-OK,Paine
2244-72747-GF,Lolol
17957-30003-BH,Nancagua
43389-17096-KF,San Felipe
2002-34561-KI,Alto Biobio
63367-11983-DJ,Puren
2504-44007-AF,Traiguen
33320-81227-MN,Olmue
62440-59688-NJ,Contulmo
68967-37715-HF,Diego de Almagro
97979-38840-LN,Mariquina
38180-81955-HN,Maullin
63660-87622-GK,Hijuelas
27387-51955-DB,Vitacura
63474-79491-NL,Porvenir
78084-20738-MG,San Pedro de la Paz
91317-16257-JD,Maipu
68274-28037-DB,Lampa
69769-48009-DF,Pencahue
21666-4918-LM,Hualañe
22045-72513-HE,Rancagua
75254-18562-BG,Isla de Maipo
2063-7789-BO,La Ligua
905-28507-GO,Chañaral
52333-84416-IN,Cabildo
12535-65611-EJ,Cañete
50401-33014-MH,Pucon
82881-34480-EO,Portezuelo
11817-9928-JE,Pencahue
61746-68518-BJ,Santa Barbara
43657-42960-IA,Ollagüe
95243-20001-GH,Mulchen
29968-9653-BF,Vilcun
21783-68052-KN,Pitrufquen
86130-28257-LF,Paiguano
28723-63556-FF,Retiro
50919-91480-IB,La Estrella
48923-74984-LA,Maria Elena
34895-60990-HB,Purranque
93654-84379-HB,Tome
82408-35174-LM,Cochrane
45508-69257-DF,Lota
79471-48968-ND,Tome
41836-71920-MK,Huara
33283-88636-LE,Temuco
63370-35624-OO,Lo Espejo
26813-55880-DM,Caldera
5183-96112-KG,Carahue
7010-70680-FA,Rengo
76528-76227-MG,Pirque
89919-27603-MB,Nancagua
48630-14370-IB,Ancud
62543-40284-BD,Alto del Carmen
26814-5298-OG,Zapallar
76367-17037-EB,San Joaquin
65336-66323-EG,Tiltil
52920-15732-BN,Peñalolen
52585-5864-NH,San Pedro de la Paz
90536-26795-IB,La Florida
86941-76654-DH,Carahue
39666-22807-DD,Primavera
99064-65353-KE,Alhue
92225-62303-OF,Mariquina
1170-92553-IG,Lo Barnechea
50895-76296-JG,Peumo
54809-98309-LJ,Guaitecas
6667-24651-BA,Nueva Imperial
46794-50871-AM,Rio Negro
81562-88231-NG,San Clemente
70940-430-BI,Rio Claro
90711-94912-BI,La Union
26406-19514-LB,Requinoa
15034-91882-KH,Navidad
48926-92957-FH,Taltal
20966-2287-GN,Pinto
23725-83303-FI,Saavedra
8987-8726-FE,Perquenco
84716-95928-KB,Tucapel
60301-70021-OB,Cunco
51770-46932-EK,Licanten
17540-59554-MM,Monte Patria
40580-26655-IN,Rinconada
70317-1761-FJ,Huara
933-93899-ME,Coihaique
42348-65185-JM,Los Angeles
52452-11632-DJ,Maullin
25264-2574-LK,Carahue
31926-21178-EB,Pitrufquen
75887-7992-FG,San Clemente
6084-94035-EK,Quemchi
87965-7162-MB,San Rafael
84505-25280-OE,Colbun
80263-91423-JK,Cabildo
59400-50499-AL,Los Andes
35920-79778-IJ,Peumo
6950-31233-BM,Las Cabras
23974-56394-KG,Puerto Varas
74438-67958-OM,Lolol
98051-99970-KB,Marchihue
11282-90991-EA,San Ramon
18823-87464-II,Frutillar
62893-84561-HA,Pinto
68602-75315-MD,Maule
8990-98288-HM,Vallenar
71431-81235-HM,Coltauco
75740-71991-BI,Tome
36229-99833-LA,Malloa
1381-4766-FB,Isla de Maipo
48173-64138-BI,Lo Espejo
84593-9887-DF,Contulmo
26874-39768-NG,San Gregorio
47931-32842-LM,Renca
88112-12976-BF,Panquehue
67378-80654-OO,Maipu
31569-97764-ID,Nacimiento
51931-4621-AL,Pichidegua
82821-9653-IL,Olivar
54678-7991-BD,Lo Prado
19015-83580-IH,Calama
39136-17233-HN,Graneros
88483-42850-OL,Retiro
91451-79426-HN,Saavedra
24664-97780-FO,Maullin
