comuna,region
Padre Hurtado,Metropolitana de Santiago
Curanilahue,VII del Maule
Calama,II de Antofagasta
Chile Chico,XI de Aysen del General Carlos Ibanez del Campo
Huasco,III de Atacama
Antofagasta,II de Antofagasta
Valparaiso,V de Valparaiso
La Higuera,IV de Coquimbo
Ollagüe,II de Antofagasta
Rio Bueno,XIV de Los Rios
La Serena,IV de Coquimbo
Vallenar,III de Atacama
Punta Arenas,XII de Magallanes y de la Antartica Chilena
Monte Patria,IV de Coquimbo
Isla de Maipo,Metropolitana de Santiago
Maria Elena,II de Antofagasta
Taltal,II de Antofagasta
Huara,I de Tarapaca
Tocopilla,II de Antofagasta
Copiapo,III de Atacama
Quilpue,V de Valparaiso
Concon,V de Valparaiso
Diego de Almagro,III de Atacama
Rio Hurtado,IV de Coquimbo
Mejillones,II de Antofagasta
Primavera,XII de Magallanes y de la Antartica Chilena
Salamanca,IV de Coquimbo
Los Alamos,VII del Maule
Caldera,III de Atacama
Cabo de Hornos,XII de Magallanes y de la Antartica Chilena
Iquique,I de Tarapaca
San Pedro de Atacama,II de Antofagasta
Panguipulli,XIV de Los Rios
Camina,I de Tarapaca
Tierra Amarilla,III de Atacama
San Gregorio,XII de Magallanes y de la Antartica Chilena
Ovalle,IV de Coquimbo
Maria Pinto,Metropolitana de Santiago
Pica,I de Tarapaca
Santa Barbara,VIII del Bio-Bio
Yumbel,VIII del Bio-Bio
Combarbala,IV de Coquimbo
Colchane,I de Tarapaca
Andacollo,IV de Coquimbo
Porvenir,XII de Magallanes y de la Antartica Chilena
Freirina,III de Atacama
Juan Fernandez,V de Valparaiso
Quintero,V de Valparaiso
Talagante,Metropolitana de Santiago
El Monte,Metropolitana de Santiago
Sierra Gorda,II de Antofagasta
Contulmo,VII del Maule
Chanaral,III de Atacama
Alto del Carmen,III de Atacama
Natales,XII de Magallanes y de la Antartica Chilena
Laguna Blanca,XII de Magallanes y de la Antartica Chilena
Punitaqui,IV de Coquimbo
Canete,VII del Maule
Los Vilos,IV de Coquimbo
Arica,XV de Arica y Parinacota
Paiguano,IV de Coquimbo
Camarones,XV de Arica y Parinacota
Timaukel,XII de Magallanes y de la Antartica Chilena
Codegua,VI del Libertador General Bernardo O'Higgins
Alto Hospicio,I de Tarapaca
San Pedro,Metropolitana de Santiago
Villa Alemana,V de Valparaiso
Coquimbo,IV de Coquimbo
General Lagos,XV de Arica y Parinacota
Illapel,IV de Coquimbo
Curacavi,Metropolitana de Santiago
Pozo Almonte,I de Tarapaca
Alto Biobio,VIII del Bio-Bio
Casablanca,V de Valparaiso
Rancagua,VI del Libertador General Bernardo O'Higgins
Tucapel,VIII del Bio-Bio
San Rosendo,VIII del Bio-Bio
Alhue,Metropolitana de Santiago
Rio Ibanez,XI de Aysen del General Carlos Ibanez del Campo
Rio Verde,XII de Magallanes y de la Antartica Chilena
Putre,XV de Arica y Parinacota
Tirua,VII del Maule
Antartica,XII de Magallanes y de la Antartica Chilena
Puchuncavi,V de Valparaiso
Vicuna,IV de Coquimbo
Canela,IV de Coquimbo
Doñihue,VI del Libertador General Bernardo O'Higgins
Vitacura,Metropolitana de Santiago
Paine,Metropolitana de Santiago
Lolol,VI del Libertador General Bernardo O'Higgins
Nancagua,VI del Libertador General Bernardo O'Higgins
San Felipe,V de Valparaiso
Puren,IX de La Araucania
Traiguen,IX de La Araucania
Olmue,V de Valparaiso
Contulmo,VIII del Bio-Bio
Mariquina,XIV de Los Rios
Maullin,X de Los Lagos
Hijuelas,V de Valparaiso
Porvenir,XII de Magallanes y de La Antartica Chilena
San Pedro de la Paz,VIII del Bio-Bio
Maipu,Metropolitana de Santiago
Lampa,Metropolitana de Santiago
Pencahue,VII del Maule
Hualañe,VII del Maule
La Ligua,V de Valparaiso
Chañaral,III de Atacama
Cabildo,V de Valparaiso
Cañete,VIII del Bio-Bio
Pucon,IX de La Araucania
Portezuelo,XVI de Ñuble
Mulchen,VIII del Bio-Bio
Vilcun,IX de La Araucania
Pitrufquen,IX de La Araucania
Retiro,VII del Maule
La Estrella,VI del Libertador General Bernardo O'Higgins
Purranque,X de Los Lagos
Tome,VIII del Bio-Bio
Cochrane,XI de Aysen del General Carlos Ibañez del Campo
Lota,VIII del Bio-Bio
Temuco,IX de La Araucania
Lo Espejo,Metropolitana de Santiago
Carahue,IX de La Araucania
Rengo,VI del Libertador General Bernardo O'Higgins
Pirque,Metropolitana de Santiago
Ancud,X de Los Lagos
Zapallar,V de Valparaiso
San Joaquin,Metropolitana de Santiago
Tiltil,Metropolitana de Santiago
Peñalolen,Metropolitana de Santiago
La Florida,Metropolitana de Santiago
Primavera,XII de Magallanes y de La Antartica Chilena
Lo Barnechea,Metropolitana de Santiago
Peumo,VI del Libertador General Bernardo O'Higgins
Guaitecas,XI de Aysen del General Carlos Ibañez del Campo
Nueva Imperial,IX de La Araucania
Rio Negro,X de Los Lagos
San Clemente,VII del Maule
Rio Claro,VII del Maule
La Union,XIV de Los Rios
Requinoa,VI del Libertador General Bernardo O'Higgins
Navidad,VI del Libertador General Bernardo O'Higgins
Pinto,XVI de Ñuble
Saavedra,IX de La Araucania
Perquenco,IX de La Araucania
Cunco,IX de La Araucania
Licanten,VII del Maule
Rinconada,V de Valparaiso
Coihaique,XI de Aysen del General Carlos Ibañez del Campo
Los Angeles,VIII del Bio-Bio
Quemchi,X de Los Lagos
San Rafael,VII del Maule
Colbun,VII del Maule
Los Andes,V de Valparaiso
Las Cabras,VI del Libertador General Bernardo O'Higgins
Puerto Varas,X de Los Lagos
Marchihue,VI del Libertador General Bernardo O'Higgins
San Ramon,Metropolitana de Santiago
Frutillar,X de Los Lagos
Maule,VII del Maule
Coltauco,VI del Libertador General Bernardo O'Higgins
Malloa,VI del Libertador General Bernardo O'Higgins
San Gregorio,XII de Magallanes y de La Antartica Chilena
Renca,Metropolitana de Santiago
Panquehue,V de Valparaiso
Nacimiento,VIII del Bio-Bio
Pichidegua,VI del Libertador General Bernardo O'Higgins
Olivar,VI del Libertador General Bernardo O'Higgins
Lo Prado,Metropolitana de Santiago
Graneros,VI del Libertador General Bernardo O'Higgins
San Ignacio,XVI de Ñuble
Los Alamos,VIII del Bio-Bio
Futaleufu,X de Los Lagos
Ninhue,XVI de Ñuble
Chiguayante,VIII del Bio-Bio
Freire,IX de La Araucania
Laguna Blanca,XII de Magallanes y de La Antartica Chilena
Chimbarongo,VI del Libertador General Bernardo O'Higgins
Calera,V de Valparaiso
Palena,X de Los Lagos
Lonquimay,IX de La Araucania
Futrono,XIV de Los Rios
Quinchao,X de Los Lagos
Quellon,X de Los Lagos
Pelarco,VII del Maule
Rio Verde,XII de Magallanes y de La Antartica Chilena
Llanquihue,X de Los Lagos
Llaillay,V de Valparaiso
Santa Juana,VIII del Bio-Bio
Laja,VIII del Bio-Bio
Palmilla,VI del Libertador General Bernardo O'Higgins
Penco,VIII del Bio-Bio
Queilen,X de Los Lagos
Cabrero,VIII del Bio-Bio
El Tabo,V de Valparaiso
Chanco,VII del Maule
Constitucion,VII del Maule
Rauco,VII del Maule
Peralillo,VI del Libertador General Bernardo O'Higgins
Melipeuco,IX de La Araucania
Romeral,VII del Maule
Tortel,XI de Aysen del General Carlos Ibañez del Campo
Parral,VII del Maule
San Bernardo,Metropolitana de Santiago
Dalcahue,X de Los Lagos
La Reina,Metropolitana de Santiago
Teno,VII del Maule
Padre Las Casas,IX de La Araucania
Huechuraba,Metropolitana de Santiago
Macul,Metropolitana de Santiago
Curanilahue,VIII del Bio-Bio
Timaukel,XII de Magallanes y de La Antartica Chilena
Negrete,VIII del Bio-Bio
Las Condes,Metropolitana de Santiago
Quilleco,VIII del Bio-Bio
Providencia,Metropolitana de Santiago
Curacautin,IX de La Araucania
Coronel,VIII del Bio-Bio
Peñaflor,Metropolitana de Santiago
Curico,VII del Maule
Sagrada Familia,VII del Maule
Chaiten,X de Los Lagos
Chile Chico,XI de Aysen del General Carlos Ibañez del Campo
Quillota,V de Valparaiso
Calle Larga,V de Valparaiso
Cartagena,V de Valparaiso
Santiago,Metropolitana de Santiago
Lebu,VIII del Bio-Bio
Yerbas Buenas,VII del Maule
San Fernando,VI del Libertador General Bernardo O'Higgins
Osorno,X de Los Lagos
Placilla,VI del Libertador General Bernardo O'Higgins
San Antonio,V de Valparaiso
Lago Ranco,XIV de Los Rios
Vichuquen,VII del Maule
Galvarino,IX de La Araucania
Vicuña,IV de Coquimbo
Quilaco,VIII del Bio-Bio
Cisnes,XI de Aysen del General Carlos Ibañez del Campo
Quinta de Tilcoco,VI del Libertador General Bernardo O'Higgins
Pelluhue,VII del Maule
Cerrillos,Metropolitana de Santiago
Corral,XIV de Los Rios
Talcahuano,VIII del Bio-Bio
Cabo de Hornos,XII de Magallanes y de La Antartica Chilena
Lanco,XIV de Los Rios
Lautaro,IX de La Araucania
Villa Alegre,VII del Maule
Recoleta,Metropolitana de Santiago
Pedro Aguirre Cerda,Metropolitana de Santiago
Los Lagos,XIV de Los Rios
La Pintana,Metropolitana de Santiago
Camiña,I de Tarapaca
Coinco,VI del Libertador General Bernardo O'Higgins
La Cisterna,Metropolitana de Santiago
Curaco de Velez,X de Los Lagos
San Miguel,Metropolitana de Santiago
Santa Cruz,VI del Libertador General Bernardo O'Higgins
Pichilemu,VI del Libertador General Bernardo O'Higgins
Teodoro Schmidt,IX de La Araucania
Calbuco,X de Los Lagos
Lumaco,IX de La Araucania
Angol,IX de La Araucania
Loncoche,IX de La Araucania
Ñuñoa,Metropolitana de Santiago
Coihueco,XVI de Ñuble
Los Sauces,IX de La Araucania
Pudahuel,Metropolitana de Santiago
Chonchi,X de Los Lagos
Tirua,VIII del Bio-Bio
La Granja,Metropolitana de Santiago
Curarrehue,IX de La Araucania
Quilicura,Metropolitana de Santiago
Cobquecura,XVI de Ñuble
Independencia,Metropolitana de Santiago
Santo Domingo,V de Valparaiso
Aisen,XI de Aysen del General Carlos Ibañez del Campo
Puqueldon,X de Los Lagos
Estacion Central,Metropolitana de Santiago
San Vicente,VI del Libertador General Bernardo O'Higgins
Mostazal,VI del Libertador General Bernardo O'Higgins
Fresia,X de Los Lagos
Conchali,Metropolitana de Santiago
Chepica,VI del Libertador General Bernardo O'Higgins
Hualaihue,X de Los Lagos
San Fabian,XVI de Ñuble
Natales,XII de Magallanes y de La Antartica Chilena
Torres del Paine,XII de Magallanes y de La Antartica Chilena
Castro,X de Los Lagos
Linares,VII del Maule
Paillaco,XIV de Los Rios
Santa Maria,V de Valparaiso
Florida,VIII del Bio-Bio
Hualpen,VIII del Bio-Bio
Chillan,XVI de Ñuble
Treguaco,XVI de Ñuble
O'Higgins,XI de Aysen del General Carlos Ibañez del Campo
Victoria,IX de La Araucania
Lago Verde,XI de Aysen del General Carlos Ibañez del Campo
San Nicolas,XVI de Ñuble
Punta Arenas,XII de Magallanes y de La Antartica Chilena
Coelemu,XVI de Ñuble
Yungay,XVI de Ñuble
Chillan Viejo,XVI de Ñuble
San Jose de Maipo,Metropolitana de Santiago
Machali,VI del Libertador General Bernardo O'Higgins
Putaendo,V de Valparaiso
Antuco,VIII del Bio-Bio
Viña del Mar,V de Valparaiso
Puyehue,X de Los Lagos
Talca,VII del Maule
Arauco,VIII del Bio-Bio
Cholchol,IX de La Araucania
Antartica,XII de Magallanes y de La Antartica Chilena
Melipilla,Metropolitana de Santiago
El Quisco,V de Valparaiso
Molina,VII del Maule
El Bosque,Metropolitana de Santiago
Nogales,V de Valparaiso
Ranquil,XVI de Ñuble
Collipulli,IX de La Araucania
El Carmen,XVI de Ñuble
Algarrobo,V de Valparaiso
Quirihue,XVI de Ñuble
Pumanque,VI del Libertador General Bernardo O'Higgins
Puerto Octay,X de Los Lagos
San Pablo,X de Los Lagos
San Javier,VII del Maule
Longavi,VII del Maule
Cochamo,X de Los Lagos
Petorca,V de Valparaiso
Quillon,XVI de Ñuble
Gorbea,IX de La Araucania
Concepcion,VIII del Bio-Bio
Catemu,V de Valparaiso
Ñiquen,XVI de Ñuble
Valdivia,XIV de Los Rios
Limache,V de Valparaiso
Colina,Metropolitana de Santiago
Bulnes,XVI de Ñuble
Pemuco,XVI de Ñuble
Ercilla,IX de La Araucania
Paredones,VI del Libertador General Bernardo O'Higgins
Mafil,XIV de Los Rios
Empedrado,VII del Maule
Calera de Tango,Metropolitana de Santiago
Puente Alto,Metropolitana de Santiago
San Juan de la Costa,X de Los Lagos
Buin,Metropolitana de Santiago
Tolten,IX de La Araucania
Cerro Navia,Metropolitana de Santiago
Hualqui,VIII del Bio-Bio
La Cruz,V de Valparaiso
San Esteban,V de Valparaiso
Quinta Normal,Metropolitana de Santiago
Curepto,VII del Maule
Papudo,V de Valparaiso
Puerto Montt,X de Los Lagos
Cauquenes,VII del Maule
Villarrica,IX de La Araucania
Litueche,VI del Libertador General Bernardo O'Higgins
Isla de Pascua,V de Valparaiso
Renaico,IX de La Araucania
San Carlos,XVI de Ñuble
Rio Ibañez,XI de Aysen del General Carlos Ibañez del Campo
Los Muermos,X de Los Lagos
