comuna,region
Padre Hurtado,Metropolitana de Santiago
Curanilahue,VII del Maule
Calama,II de Antofagasta
Chile Chico,XI de Aysen del General Carlos Ibañez del Campo
Huasco,III de Atacama
Antofagasta,II de Antofagasta
Valparaiso,V de Valparaiso
La Higuera,IV de Coquimbo
Ollagüe,II de Antofagasta
Rio Bueno,XIV de Los Rios
La Serena,IV de Coquimbo
Vallenar,III de Atacama
Punta Arenas,XII de Magallanes y de la Antartica Chilena
Monte Patria,IV de Coquimbo
Isla de Maipo,Metropolitana de Santiago
Maria Elena,II de Antofagasta
Taltal,II de Antofagasta
Huara,I de Tarapaca
Tocopilla,II de Antofagasta
Copiapo,III de Atacama
Quilpue,V de Valparaiso
Concon,V de Valparaiso
Diego de Almagro,III de Atacama
Rio Hurtado,IV de Coquimbo
Mejillones,II de Antofagasta
Primavera,XII de Magallanes y de la Antartica Chilena
Salamanca,IV de Coquimbo
Los Alamos,VII del Maule
Caldera,III de Atacama
Cabo de Hornos,XII de Magallanes y de la Antartica Chilena
Iquique,I de Tarapaca
San Pedro de Atacama,II de Antofagasta
Panguipulli,XIV de Los Rios
Camiña,I de Tarapaca
Tierra Amarilla,III de Atacama
San Gregorio,XII de Magallanes y de la Antartica Chilena
Ovalle,IV de Coquimbo
Maria Pinto,Metropolitana de Santiago
Pica,I de Tarapaca
Santa Barbara,VIII del Bio-Bio
Yumbel,VIII del Bio-Bio
Combarbala,IV de Coquimbo
Colchane,I de Tarapaca
Andacollo,IV de Coquimbo
Porvenir,XII de Magallanes y de la Antartica Chilena
Freirina,III de Atacama
Juan Fernandez,V de Valparaiso
Quintero,V de Valparaiso
Talagante,Metropolitana de Santiago
El Monte,Metropolitana de Santiago
Sierra Gorda,II de Antofagasta
Contulmo,VII del Maule
Chañaral,III de Atacama
Alto del Carmen,III de Atacama
Natales,XII de Magallanes y de la Antartica Chilena
Laguna Blanca,XII de Magallanes y de la Antartica Chilena
Punitaqui,IV de Coquimbo
Cañete,VII del Maule
Los Vilos,IV de Coquimbo
Arica,XV de Arica y Parinacota
Paiguano,IV de Coquimbo
Camarones,XV de Arica y Parinacota
Timaukel,XII de Magallanes y de la Antartica Chilena
Codegua,VI del Libertador General Bernardo O'Higgins
Alto Hospicio,I de Tarapaca
San Pedro,Metropolitana de Santiago
Villa Alemana,V de Valparaiso
Coquimbo,IV de Coquimbo
General Lagos,XV de Arica y Parinacota
Illapel,IV de Coquimbo
Curacavi,Metropolitana de Santiago
Pozo Almonte,I de Tarapaca
Alto Biobio,VIII del Bio-Bio
Casablanca,V de Valparaiso
Rancagua,VI del Libertador General Bernardo O'Higgins
Tucapel,VIII del Bio-Bio
San Rosendo,VIII del Bio-Bio
Alhue,Metropolitana de Santiago
Rio Ibañez,XI de Aysen del General Carlos Ibañez del Campo
Rio Verde,XII de Magallanes y de la Antartica Chilena
Putre,XV de Arica y Parinacota
Tirua,VII del Maule
Antartica,XII de Magallanes y de la Antartica Chilena
Puchuncavi,V de Valparaiso
Vicuña,IV de Coquimbo
Canela,IV de Coquimbo
