comuna de tramitacion,region de tramitacion
Doñihue,VI del Libertador General Bernardo O'Higgins
Vitacura,Metropolitana de Santiago
Paine,Metropolitana de Santiago
Lolol,VI del Libertador General Bernardo O'Higgins
Nancagua,VI del Libertador General Bernardo O'Higgins
San Felipe,V de Valparaiso
Alto Biobio,VIII del Bio-Bio
Puren,IX de La Araucania
Traiguen,IX de La Araucania
Olmue,V de Valparaiso
Contulmo,VIII del Bio-Bio
Diego de Almagro,III de Atacama
Mariquina,XIV de Los Rios
Maullin,X de Los Lagos
Hijuelas,V de Valparaiso
Porvenir,XII de Magallanes y de La Antartica Chilena
San Pedro de la Paz,VIII del Bio-Bio
Maipu,Metropolitana de Santiago
Lampa,Metropolitana de Santiago
Pencahue,VII del Maule
Hualañe,VII del Maule
Rancagua,VI del Libertador General Bernardo O'Higgins
Isla de Maipo,Metropolitana de Santiago
La Ligua,V de Valparaiso
Chañaral,III de Atacama
Cabildo,V de Valparaiso
Cañete,VIII del Bio-Bio
Pucon,IX de La Araucania
Portezuelo,XVI de Ñuble
Santa Barbara,VIII del Bio-Bio
Ollagüe,II de Antofagasta
Mulchen,VIII del Bio-Bio
Vilcun,IX de La Araucania
Pitrufquen,IX de La Araucania
Paiguano,IV de Coquimbo
Retiro,VII del Maule
La Estrella,VI del Libertador General Bernardo O'Higgins
Maria Elena,II de Antofagasta
Purranque,X de Los Lagos
Tome,VIII del Bio-Bio
Cochrane,XI de Aysen del General Carlos Ibañez del Campo
Lota,VIII del Bio-Bio
Huara,I de Tarapaca
Temuco,IX de La Araucania
Lo Espejo,Metropolitana de Santiago
Caldera,III de Atacama
Carahue,IX de La Araucania
Rengo,VI del Libertador General Bernardo O'Higgins
Pirque,Metropolitana de Santiago
Ancud,X de Los Lagos
Alto del Carmen,III de Atacama
Zapallar,V de Valparaiso
San Joaquin,Metropolitana de Santiago
Tiltil,Metropolitana de Santiago
Peñalolen,Metropolitana de Santiago
La Florida,Metropolitana de Santiago
Primavera,XII de Magallanes y de La Antartica Chilena
Alhue,Metropolitana de Santiago
Lo Barnechea,Metropolitana de Santiago
Peumo,VI del Libertador General Bernardo O'Higgins
Guaitecas,XI de Aysen del General Carlos Ibañez del Campo
Nueva Imperial,IX de La Araucania
Rio Negro,X de Los Lagos
San Clemente,VII del Maule
Rio Claro,VII del Maule
La Union,XIV de Los Rios
Requinoa,VI del Libertador General Bernardo O'Higgins
Navidad,VI del Libertador General Bernardo O'Higgins
Taltal,II de Antofagasta
Pinto,XVI de Ñuble
Saavedra,IX de La Araucania
Perquenco,IX de La Araucania
Tucapel,VIII del Bio-Bio
Cunco,IX de La Araucania
Licanten,VII del Maule
Monte Patria,IV de Coquimbo
Rinconada,V de Valparaiso
Coihaique,XI de Aysen del General Carlos Ibañez del Campo
Los Angeles,VIII del Bio-Bio
Quemchi,X de Los Lagos
San Rafael,VII del Maule
Colbun,VII del Maule
Los Andes,V de Valparaiso
Las Cabras,VI del Libertador General Bernardo O'Higgins
Puerto Varas,X de Los Lagos
Marchihue,VI del Libertador General Bernardo O'Higgins
San Ramon,Metropolitana de Santiago
Frutillar,X de Los Lagos
Maule,VII del Maule
